stay_year,stay_month_num,season,room_name,regime,strategy,current_adr,recommended_price_change_pct,recommended_adr,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,revpar_change_pct,actual_revenue,optimized_revenue,incremental_revenue_eur,room_nights,available_room_nights,conversion_pct,avg_los,elasticity_proxy,elasticity_source,elasticity_observations,confidence,reason
2026,5,SHOULDER,Camera Deluxe,VOLUME_OPPORTUNITY,PRICE_DOWN,177.35,-15.0,150.75,10.32,12.65,18.31,19.06,4.13,2837.58,2954.63,117.05,16.0,155.0,0.0,3.2,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (18.31 -> 19.06) under the estimated price-volume response.
2025,7,PEAK,Suite Familiare Vista Piscina,VOLUME_OPPORTUNITY,PRICE_DOWN,356.66,-15.0,303.16,22.58,27.66,80.54,83.86,4.12,2496.65,2599.64,102.99,7.0,31.0,0.0,7.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (80.54 -> 83.86) under the estimated price-volume response.
2026,7,PEAK,Suite Familiare,VOLUME_OPPORTUNITY,PRICE_DOWN,150.0,-25.0,112.5,6.45,11.29,9.68,12.7,31.25,300.0,393.75,93.75,2.0,31.0,0.0,2.0,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (9.68 -> 12.70) under the estimated price-volume response.
2024,9,SHOULDER,Suite Familiare,VOLUME_OPPORTUNITY,PRICE_DOWN,128.57,-15.0,109.29,46.67,57.17,60.0,62.48,4.13,1800.0,1874.25,74.25,14.0,30.0,0.0,7.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (60.00 -> 62.48) under the estimated price-volume response.
2024,9,SHOULDER,Villino 2Ten,VOLUME_OPPORTUNITY,PRICE_DOWN,141.43,-15.0,120.21,23.33,28.58,33.0,34.36,4.12,990.0,1030.84,40.84,7.0,30.0,7.14,7.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (33.00 -> 34.36) under the estimated price-volume response.
2026,6,SHOULDER,OTA Camera Standard,VOLUME_OPPORTUNITY,PRICE_DOWN,158.5,-15.0,134.73,6.67,8.17,10.57,11.0,4.13,951.03,990.26,39.23,6.0,90.0,,3.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (10.57 -> 11.00) under the estimated price-volume response.
2026,5,SHOULDER,OTA Camera Standard,VOLUME_OPPORTUNITY,PRICE_DOWN,141.42,-15.0,120.21,4.3,5.27,6.08,6.33,4.12,565.68,589.01,23.33,4.0,93.0,,2.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (6.08 -> 6.33) under the estimated price-volume response.
2026,5,SHOULDER,Villino 2Ten,VOLUME_OPPORTUNITY,PRICE_DOWN,112.2,-15.0,95.37,16.13,19.76,18.1,18.84,4.12,561.0,584.14,23.14,5.0,31.0,,2.5,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (18.10 -> 18.84) under the estimated price-volume response.
2026,5,SHOULDER,Villino Double,VOLUME_OPPORTUNITY,PRICE_DOWN,110.38,-15.0,93.82,16.13,19.76,17.8,18.54,4.13,551.9,574.67,22.77,5.0,31.0,50.0,2.5,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (17.80 -> 18.54) under the estimated price-volume response.
2026,5,SHOULDER,Suite Familiare,VOLUME_OPPORTUNITY,PRICE_DOWN,140.0,-15.0,119.0,9.68,11.85,13.55,14.11,4.12,420.0,437.32,17.32,3.0,31.0,0.0,3.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (13.55 -> 14.11) under the estimated price-volume response.
2025,5,SHOULDER,Camera Deluxe,VOLUME_OPPORTUNITY,PRICE_DOWN,47.0,-15.0,39.95,3.23,3.95,1.52,1.58,4.12,235.0,244.69,9.69,5.0,155.0,0.0,1.67,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (1.52 -> 1.58) under the estimated price-volume response.
2024,7,PEAK,Appartamento Area Giardino,PRICE_POWER,HOLD,128.67,0.0,128.67,104.61,104.61,134.6,134.6,0.0,116834.0,116834.0,0.0,908.0,868.0,7.38,8.11,0.78,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (134.60 -> 134.60) under the estimated price-volume response.
2024,8,PEAK,Appartamento Area Giardino,PRICE_POWER,HOLD,120.8,0.0,120.8,111.18,111.18,134.3,134.3,0.0,116570.5,116570.5,0.0,965.0,868.0,4.76,7.85,0.2,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (134.30 -> 134.30) under the estimated price-volume response.
2024,6,SHOULDER,Appartamento Area Giardino,PRICE_POWER,HOLD,143.78,0.0,143.78,104.52,104.52,150.28,150.28,0.0,126235.9,126235.9,0.0,878.0,840.0,7.64,7.32,2.618,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (150.28 -> 150.28) under the estimated price-volume response.
2024,7,PEAK,Camera Deluxe,PRICE_POWER,HOLD,322.24,0.0,322.24,115.48,115.48,372.13,372.13,0.0,57680.5,57680.5,0.0,179.0,155.0,3.31,6.88,0.59,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (372.13 -> 372.13) under the estimated price-volume response.
2024,6,SHOULDER,Camera Deluxe,PRICE_POWER,HOLD,194.09,0.0,194.09,110.0,110.0,213.5,213.5,0.0,32024.5,32024.5,0.0,165.0,150.0,6.92,6.35,3.0,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (213.50 -> 213.50) under the estimated price-volume response.
2025,11,OTHER,Camera  Standard,VOLUME_OPPORTUNITY,HOLD,0.0,0.0,0.0,3.1,3.1,0.0,0.0,,0.0,0.0,0.0,13.0,420.0,,1.0,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected +0% because it maximizes modeled RevPAR (0.00 -> 0.00) under the estimated price-volume response.
2025,7,PEAK,Camera  Standard,PRICE_POWER,HOLD,168.96,0.0,168.96,107.14,107.14,181.03,181.03,0.0,78565.94,78565.94,0.0,465.0,434.0,5.94,4.35,0.442,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (181.03 -> 181.03) under the estimated price-volume response.
2026,7,PEAK,Appartamento Area Piscina,PRICE_POWER,HOLD,291.33,0.0,291.33,85.66,85.66,249.56,249.56,0.0,139256.49,139256.49,0.0,478.0,558.0,0.92,6.64,0.829,OBSERVED,2,HIGH,PRICE_POWER: tested price grid and selected +0% because it maximizes modeled RevPAR (249.56 -> 249.56) under the estimated price-volume response.
