stay_year,stay_month_num,season,room_name,arrangement_name,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,realized_total_adr,treatment_mix_pct
2026,7,PEAK,Suite Familiare Vista Piscina,Mezza Pensione,1,7,2590.0,4,7.0,75.0,370.0,50.0
2024,8,PEAK,Suite Familiare Vista Piscina,Mezza Pensione,2,14,6980.0,8,7.0,11.0,498.57142857142856,50.0
2025,8,PEAK,Suite Familiare Vista Piscina,Mezza Pensione,3,11,4493.0,12,3.6666666666666665,53.0,408.45454545454544,42.857142857142854
2025,11,OTHER,Suite Familiare Vista Piscina,No Board,1,1,0.0,2,1.0,4.0,0.0,100.0
2024,5,SHOULDER,Suite Familiare Vista Piscina,Pensione Completa,1,2,400.0,2,2.0,0.0,200.0,100.0
2026,5,SHOULDER,Suite Familiare Vista Piscina,Pensione Completa,1,4,952.0,4,4.0,26.0,238.0,100.0
2024,6,SHOULDER,Suite Familiare Vista Piscina,Pensione Completa,1,2,0.0,2,2.0,11.0,0.0,33.333333333333336
2025,6,SHOULDER,Suite Familiare Vista Piscina,Pensione Completa,1,7,1760.0,3,7.0,85.0,251.42857142857142,25.0
2024,7,PEAK,Suite Familiare Vista Piscina,Pensione Completa,2,14,4930.0,8,7.0,59.0,352.14285714285717,50.0
2026,7,PEAK,Suite Familiare Vista Piscina,Pensione Completa,1,7,3402.45,4,7.0,69.0,486.0642857142857,50.0
2024,8,PEAK,Suite Familiare Vista Piscina,Pensione Completa,2,21,7780.0,8,10.5,9.0,370.4761904761905,50.0
2025,8,PEAK,Suite Familiare Vista Piscina,Pensione Completa,3,10,4880.0,11,3.3333333333333335,76.0,488.0,42.857142857142854
2026,6,SHOULDER,Villino 2Ten,Mezza Pensione,2,6,751.35,4,3.0,13.5,125.22500000000001,50.0
2024,7,PEAK,Villino 2Ten,Mezza Pensione,1,6,1473.0,2,6.0,198.0,245.5,50.0
2025,7,PEAK,Villino 2Ten,Mezza Pensione,1,14,2890.0,2,14.0,173.0,206.42857142857142,50.0
2026,7,PEAK,Villino 2Ten,Mezza Pensione,1,10,2100.0,2,10.0,73.0,210.0,100.0
2024,8,PEAK,Villino 2Ten,Mezza Pensione,1,7,2390.0,2,7.0,145.0,341.42857142857144,16.666666666666668
