stay_year,stay_month_num,season,booking_window,arrangement_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,same_treatment_converted,conversion_pct
2025,6,SHOULDER,15-30,Mezza Pensione,25,113,21689.3,197.78920000000002,22.16,191.94070796460176,21.875,135.0,4.0,2.962962962962963
2025,6,SHOULDER,15-30,Pensione Completa,13,49,11976.619999999999,226.42923076923077,23.153846153846153,244.4208163265306,0.0,191.0,4.0,2.094240837696335
2025,6,SHOULDER,181+,Pensione Completa,10,69,13067.5,185.965,202.7,189.3840579710145,9.090909090909092,2.0,0.0,0.0
2025,6,SHOULDER,31-60,Bed & Breakfast,16,57,5717.91,74.42875000000001,39.125,100.31421052631579,20.0,51.0,1.0,1.9607843137254901
2025,6,SHOULDER,31-60,Mezza Pensione,25,157,30567.43,191.872,42.12,194.69700636942676,28.571428571428573,196.0,10.0,5.1020408163265305
2025,6,SHOULDER,31-60,Pensione Completa,20,97,21876.08,220.9705,44.95,225.52659793814433,37.5,385.0,7.0,1.8181818181818181
2025,6,SHOULDER,8-14,Bed & Breakfast,13,40,4496.0599999999995,110.75846153846155,11.0,112.40149999999998,0.0,31.0,4.0,12.903225806451612
2025,6,SHOULDER,8-14,Mezza Pensione,27,114,18944.2,148.77555555555557,10.814814814814815,166.17719298245615,15.625,85.0,12.0,14.117647058823529
2025,6,SHOULDER,8-14,Pensione Completa,13,54,9677.32,167.58692307692309,11.076923076923077,179.20962962962963,27.77777777777778,62.0,6.0,9.67741935483871
2025,6,SHOULDER,91-180,Mezza Pensione,13,98,15846.69,167.46692307692308,126.46153846153847,161.70091836734696,7.142857142857143,86.0,5.0,5.813953488372093
2025,7,PEAK,0-7,Bed & Breakfast,17,40,5847.95,138.9435294117647,3.411764705882353,146.19875,19.047619047619047,31.0,1.0,3.225806451612903
2025,7,PEAK,0-7,Mezza Pensione,30,128,28634.06,217.22866666666667,3.933333333333333,223.70359375,9.090909090909092,78.0,8.0,10.256410256410257
2025,7,PEAK,0-7,Pensione Completa,34,86,10100.16,111.04529411764706,2.9705882352941178,117.44372093023256,26.08695652173913,78.0,3.0,3.8461538461538463
2025,7,PEAK,15-30,Bed & Breakfast,13,70,13321.34,189.9569230769231,20.846153846153847,190.30485714285714,31.57894736842105,71.0,2.0,2.816901408450704
2025,7,PEAK,15-30,Mezza Pensione,23,129,32468.19,234.76391304347825,22.08695652173913,251.6913953488372,37.83783783783784,214.0,14.0,6.542056074766355
2025,7,PEAK,15-30,Pensione Completa,13,61,20180.21,260.69461538461536,21.23076923076923,330.82311475409836,27.77777777777778,231.0,8.0,3.463203463203463
2025,7,PEAK,31-60,Bed & Breakfast,12,72,12973.55,178.97166666666666,47.583333333333336,180.18819444444443,33.333333333333336,65.0,4.0,6.153846153846154
2025,7,PEAK,31-60,Mezza Pensione,25,169,39089.07,227.0932,44.76,231.2962721893491,26.470588235294116,249.0,15.0,6.024096385542169
2025,7,PEAK,61-90,Mezza Pensione,18,117,27806.65,228.20722222222219,73.11111111111111,237.66367521367522,30.76923076923077,139.0,5.0,3.597122302158273
2025,7,PEAK,61-90,Pensione Completa,16,121,22915.5,218.30375,76.8125,189.38429752066116,36.0,246.0,2.0,0.8130081300813008
2025,7,PEAK,8-14,Mezza Pensione,20,94,25151.63,259.244,11.2,267.57053191489365,9.090909090909092,91.0,7.0,7.6923076923076925
2025,7,PEAK,8-14,Pensione Completa,15,73,16612.7,159.906,10.666666666666666,227.57123287671234,34.78260869565217,121.0,2.0,1.6528925619834711
2025,7,PEAK,91-180,Bed & Breakfast,16,112,13468.81,127.093125,118.5625,120.25723214285713,30.434782608695652,84.0,1.0,1.1904761904761905
2025,7,PEAK,91-180,Mezza Pensione,39,280,60241.99,206.12538461538463,122.23076923076923,215.14996428571428,26.41509433962264,311.0,8.0,2.572347266881029
2025,7,PEAK,91-180,Only Bed,32,308,20031.98,69.8509375,130.6875,65.0388961038961,5.882352941176471,24.0,0.0,0.0
2025,7,PEAK,91-180,Pensione Completa,16,145,33171.08,223.549375,141.5,228.76606896551726,30.434782608695652,472.0,8.0,1.694915254237288
2025,8,PEAK,0-7,Bed & Breakfast,18,64,11108.87,179.485,2.611111111111111,173.57609375,18.181818181818183,38.0,8.0,21.05263157894737
2025,8,PEAK,0-7,Mezza Pensione,22,100,24674.58,225.23772727272726,4.7272727272727275,246.74580000000003,15.384615384615385,81.0,9.0,11.11111111111111
2025,8,PEAK,0-7,Pensione Completa,23,93,18128.15,146.14521739130436,3.739130434782609,194.92634408602152,42.5,89.0,4.0,4.49438202247191
2025,8,PEAK,15-30,Bed & Breakfast,13,53,7540.75,145.73384615384614,24.076923076923077,142.27830188679246,13.333333333333334,57.0,4.0,7.017543859649122
2025,8,PEAK,15-30,Mezza Pensione,15,73,17478.08,237.31666666666666,22.4,239.42575342465756,25.0,197.0,10.0,5.0761421319796955
2025,8,PEAK,15-30,Pensione Completa,11,37,8640.5,180.9018181818182,21.818181818181817,233.52702702702703,31.25,215.0,7.0,3.255813953488372
2025,8,PEAK,31-60,Mezza Pensione,22,140,39120.1,286.56772727272727,45.45454545454545,279.4292857142857,15.384615384615385,311.0,9.0,2.8938906752411575
2025,8,PEAK,31-60,Pensione Completa,11,67,19097.95,248.49636363636364,49.09090909090909,285.04402985074626,26.666666666666668,372.0,3.0,0.8064516129032258
2025,8,PEAK,61-90,Mezza Pensione,22,166,53443.11,306.87,72.95454545454545,321.94644578313256,26.666666666666668,292.0,9.0,3.0821917808219177
2025,8,PEAK,61-90,Pensione Completa,10,76,22017.35,269.41700000000003,77.5,289.7019736842105,37.5,400.0,4.0,1.0
2025,8,PEAK,8-14,Mezza Pensione,19,84,21668.25,244.25684210526316,9.947368421052632,257.95535714285717,5.0,84.0,8.0,9.523809523809524
2025,8,PEAK,8-14,Pensione Completa,11,54,16791.3,270.51545454545453,10.545454545454545,310.95,50.0,97.0,4.0,4.123711340206185
2025,8,PEAK,91-180,Bed & Breakfast,22,148,21424.1,140.91590909090908,141.8181818181818,144.7574324324324,37.142857142857146,160.0,0.0,0.0
2025,8,PEAK,91-180,Mezza Pensione,57,474,110145.4,236.6077192982456,137.17543859649123,232.37426160337552,31.325301204819276,548.0,16.0,2.9197080291970803
2025,8,PEAK,91-180,Only Bed,49,450,43801.7,86.8165306122449,150.20408163265307,97.3371111111111,5.769230769230769,103.0,1.0,0.970873786407767
2025,9,SHOULDER,0-7,Bed & Breakfast,22,58,6544.01,110.20636363636363,3.227272727272727,112.82775862068966,8.333333333333334,21.0,2.0,9.523809523809524
2025,9,SHOULDER,0-7,Mezza Pensione,61,186,33926.48,181.82409836065574,3.4262295081967213,182.4004301075269,7.575757575757576,65.0,19.0,29.23076923076923
2025,9,SHOULDER,0-7,Pensione Completa,21,57,9039.93,110.81285714285715,2.9047619047619047,158.59526315789475,8.695652173913043,35.0,4.0,11.428571428571429
2025,9,SHOULDER,15-30,Mezza Pensione,17,61,11574.23,181.57294117647058,23.11764705882353,189.74147540983606,22.727272727272727,66.0,5.0,7.575757575757576
2025,9,SHOULDER,8-14,Mezza Pensione,17,82,14899.84,189.92411764705884,10.352941176470589,181.70536585365855,19.047619047619047,71.0,11.0,15.492957746478874
2025,11,OTHER,0-7,No Board,18,18,0.0,0.0,4.0,0.0,0.0,,,
2026,5,SHOULDER,0-7,Mezza Pensione,20,44,7707.48,173.7235,2.85,175.17,20.0,24.0,3.0,12.5
2026,5,SHOULDER,0-7,Pensione Completa,12,22,3490.58,145.44,3.0833333333333335,158.66272727272727,14.285714285714286,21.0,0.0,0.0
2026,5,SHOULDER,15-30,Mezza Pensione,11,23,3280.61,143.8790909090909,18.545454545454547,142.63521739130437,8.333333333333334,19.0,1.0,5.2631578947368425
2026,5,SHOULDER,15-30,Pensione Completa,47,142,26855.03,179.0795744680851,25.425531914893618,189.11992957746477,6.0,10.0,0.0,0.0
2026,5,SHOULDER,31-60,Pensione Completa,36,112,12631.64,110.97666666666666,38.55555555555556,112.7825,10.0,13.0,1.0,7.6923076923076925
2026,5,SHOULDER,8-14,Mezza Pensione,13,26,4107.64,157.98538461538462,11.153846153846153,157.98615384615385,0.0,7.0,1.0,14.285714285714286
2026,6,SHOULDER,0-7,Mezza Pensione,41,113,16279.0,149.2580487804878,2.5365853658536586,144.06194690265488,4.651162790697675,54.0,7.0,12.962962962962964
2026,6,SHOULDER,0-7,Pensione Completa,22,71,7545.860000000001,89.86181818181818,2.5454545454545454,106.27971830985916,15.384615384615385,54.0,1.0,1.8518518518518519
2026,6,SHOULDER,15-30,Mezza Pensione,39,203,38729.13,183.28051282051283,20.58974358974359,190.78389162561575,18.75,104.0,12.0,11.538461538461538
2026,6,SHOULDER,15-30,Pensione Completa,20,90,17568.16,193.01600000000002,23.4,195.20177777777778,13.043478260869565,119.0,3.0,2.5210084033613445
2026,6,SHOULDER,181+,Multipropriet,18,133,5353.0,41.88,215.77777777777777,40.24812030075188,0.0,,,
2026,6,SHOULDER,31-60,Mezza Pensione,39,266,46818.43,172.89000000000001,42.717948717948715,176.00913533834586,32.758620689655174,123.0,12.0,9.75609756097561
2026,6,SHOULDER,31-60,Pensione Completa,14,99,21776.07,214.10714285714286,44.5,219.96030303030304,6.666666666666667,167.0,4.0,2.395209580838323
2026,6,SHOULDER,61-90,Mezza Pensione,19,157,30456.1,190.99631578947367,74.05263157894737,193.98789808917198,20.833333333333332,137.0,9.0,6.569343065693431
2026,6,SHOULDER,8-14,Mezza Pensione,21,73,11012.94,160.4995238095238,11.857142857142858,150.86219178082192,4.545454545454546,44.0,5.0,11.363636363636363
2026,6,SHOULDER,91-180,Mezza Pensione,20,165,34196.36,207.0855,111.2,207.25066666666666,28.571428571428573,194.0,8.0,4.123711340206185
2026,7,PEAK,0-7,Mezza Pensione,34,130,41222.91,280.99764705882353,3.235294117647059,317.0993076923077,8.108108108108109,65.0,2.0,3.076923076923077
2026,7,PEAK,0-7,Pensione Completa,13,38,5600.0,98.7176923076923,0.38461538461538464,147.3684210526316,38.095238095238095,101.0,1.0,0.9900990099009901
2026,7,PEAK,15-30,Mezza Pensione,28,144,44236.69,299.8764285714286,22.357142857142858,307.19923611111113,22.22222222222222,245.0,3.0,1.2244897959183674
2026,7,PEAK,181+,Multipropriet,66,510,40925.36,81.39969696969698,240.66666666666666,80.24580392156862,0.0,,,
2026,7,PEAK,31-60,Mezza Pensione,29,220,58408.6,263.9410344827586,47.689655172413794,265.49363636363637,6.451612903225806,269.0,4.0,1.486988847583643
2026,7,PEAK,31-60,Pensione Completa,19,109,33630.33,299.2457894736842,45.89473684210526,308.5351376146789,5.0,398.0,1.0,0.25125628140703515
2026,7,PEAK,61-90,Mezza Pensione,41,311,82246.74,263.49341463414635,76.14634146341463,264.4589710610933,22.641509433962263,229.0,16.0,6.986899563318778
2026,7,PEAK,61-90,Pensione Completa,16,111,36061.25,323.33187499999997,75.3125,324.8761261261261,11.11111111111111,311.0,2.0,0.6430868167202572
2026,7,PEAK,8-14,Mezza Pensione,15,57,14814.720000000001,243.30133333333333,11.533333333333333,259.90736842105264,11.764705882352942,93.0,5.0,5.376344086021505
2026,7,PEAK,91-180,Mezza Pensione,39,329,90532.45,270.7330769230769,120.12820512820512,275.1746200607903,17.02127659574468,488.0,20.0,4.098360655737705
2026,7,PEAK,91-180,Pensione Completa,10,75,25686.05,340.062,110.1,342.48066666666665,9.090909090909092,760.0,11.0,1.4473684210526316
