stay_year,stay_month,season_band,arrangement_code,arrangement_name,booking_window_band,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2024,2024-09,SHOULDER,HB,Mezza Pensione,15-30,3,4870.0,231.91,7.0,19.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,HB,Mezza Pensione,31-60,6,6759.5,178.58,6.67,44.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,HB,Mezza Pensione,61-90,3,3208.0,134.16,8.33,73.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,HB,Mezza Pensione,91-180,20,18348.0,128.16,7.05,149.55,COMPARABLE_COMMERCIAL,LOW
2024,2024-09,SHOULDER,HB,Mezza Pensione,181+,5,5150.0,147.14,7.0,199.8,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,HBL,Mezza Pensione Pranzo,15-30,2,3080.0,220.0,7.0,25.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-09,SHOULDER,NB,No Board,0-7,2,170.91,61.09,1.5,4.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-09,SHOULDER,RS,Formula Residence,91-180,1,0.0,0.0,7.0,156.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2025,2025-05,LOW,BB,Bed & Breakfast,0-7,1,250.0,125.0,2.0,4.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,BB,Bed & Breakfast,8-14,1,90.0,45.0,2.0,8.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,BB,Bed & Breakfast,15-30,5,1022.15,82.02,2.6,24.2,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,BB,Bed & Breakfast,31-60,8,5277.5,219.9,3.0,35.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,FB,Pensione Completa,8-14,5,450.0,45.0,2.2,10.6,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,FB,Pensione Completa,15-30,24,11044.35,220.09,2.12,23.0,COMPARABLE_COMMERCIAL,LOW
2025,2025-05,LOW,FB,Pensione Completa,91-180,1,480.0,240.0,2.0,143.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,HB,Mezza Pensione,0-7,3,493.14,164.38,1.0,6.67,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,HB,Mezza Pensione,8-14,1,290.0,145.0,2.0,12.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,HB,Mezza Pensione,15-30,7,1946.26,112.32,2.29,20.71,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-05,LOW,HB,Mezza Pensione,31-60,4,1890.85,115.12,3.0,41.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,BB,Bed & Breakfast,0-7,28,5774.85,98.87,2.25,3.11,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,BB,Bed & Breakfast,8-14,13,4496.06,110.76,3.08,11.0,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,BB,Bed & Breakfast,15-30,18,5861.82,108.6,2.94,22.67,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,BB,Bed & Breakfast,31-60,16,5717.91,74.43,3.56,39.12,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,BB,Bed & Breakfast,61-90,6,5493.11,138.12,6.67,75.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,BB,Bed & Breakfast,91-180,8,5596.34,120.77,6.0,104.88,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,FB,Pensione Completa,0-7,15,8345.63,168.01,3.6,3.73,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,FB,Pensione Completa,8-14,13,9677.32,167.59,4.15,11.08,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,FB,Pensione Completa,15-30,13,11976.62,226.43,3.77,23.15,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,FB,Pensione Completa,31-60,20,21876.08,220.97,4.85,44.95,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,FB,Pensione Completa,61-90,4,7251.0,271.72,6.75,73.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,FB,Pensione Completa,91-180,7,12399.73,230.69,7.86,122.86,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,FB,Pensione Completa,181+,10,13067.5,185.96,6.9,202.7,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,HB,Mezza Pensione,0-7,43,21986.83,154.92,3.23,3.3,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-06,SHOULDER,HB,Mezza Pensione,8-14,27,18944.2,148.78,4.22,10.81,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,HB,Mezza Pensione,15-30,25,21689.3,197.79,4.52,22.16,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,HB,Mezza Pensione,31-60,25,30567.43,191.87,6.28,42.12,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,HB,Mezza Pensione,61-90,7,11323.55,163.98,9.43,67.57,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,HB,Mezza Pensione,91-180,13,15846.69,167.47,7.54,126.46,COMPARABLE_COMMERCIAL,LOW
2025,2025-06,SHOULDER,HB,Mezza Pensione,181+,5,10291.5,232.29,8.8,206.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,OB,Only Bed,0-7,1,240.0,80.0,3.0,2.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,OB,Only Bed,8-14,2,662.2,55.18,6.0,10.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,OB,Only Bed,61-90,3,1936.71,158.49,4.0,70.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-06,SHOULDER,OB,Only Bed,91-180,8,3276.88,58.52,8.0,101.5,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,BB,Bed & Breakfast,0-7,17,5847.95,138.94,2.35,3.41,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,BB,Bed & Breakfast,8-14,8,5166.53,170.15,3.62,10.12,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,BB,Bed & Breakfast,15-30,13,13321.34,189.96,5.38,20.85,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,BB,Bed & Breakfast,31-60,12,12973.55,178.97,6.0,47.58,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,BB,Bed & Breakfast,61-90,7,7812.52,135.31,9.57,75.71,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,BB,Bed & Breakfast,91-180,16,13468.81,127.09,7.0,118.56,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,FB,Pensione Completa,0-7,34,10100.16,111.05,2.53,2.97,COMPARABLE_COMMERCIAL,MEDIUM
2025,2025-07,PEAK,FB,Pensione Completa,8-14,15,16612.7,159.91,4.87,10.67,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,FB,Pensione Completa,15-30,13,20180.21,260.69,4.69,21.23,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,FB,Pensione Completa,31-60,6,8460.93,233.63,5.5,40.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,FB,Pensione Completa,61-90,16,22915.5,218.3,7.56,76.81,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,FB,Pensione Completa,91-180,16,33171.08,223.55,9.06,141.5,COMPARABLE_COMMERCIAL,LOW
2025,2025-07,PEAK,FB,Pensione Completa,181+,7,15010.0,247.35,9.0,206.71,COMPARABLE_COMMERCIAL,INSUFFICIENT
2025,2025-07,PEAK,HB,Mezza Pensione,0-7,30,28634.06,217.23,4.27,3.93,COMPARABLE_COMMERCIAL,MEDIUM
