stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2024,8,PEAK,15-30,Appartamento Area Piscina,54,5,3,5.555555555555555
2024,8,PEAK,15-30,Camera  Standard,91,7,5,5.4945054945054945
2024,8,PEAK,15-30,Camera Deluxe,160,3,2,1.25
2024,8,PEAK,15-30,Camera Superior,98,4,3,3.061224489795918
2024,8,PEAK,15-30,Suite Familiare,4,0,0,0.0
2024,8,PEAK,15-30,Suite Familiare Vista Piscina,6,0,0,0.0
2024,8,PEAK,15-30,Villino 2Ten,4,1,1,25.0
2024,8,PEAK,15-30,Villino Double,1,0,0,0.0
2024,8,PEAK,181+,Appartamento Area Giardino,90,5,5,5.555555555555555
2024,8,PEAK,181+,Appartamento Area Piscina,28,0,0,0.0
2024,8,PEAK,181+,Camera  Standard,61,0,0,0.0
2024,8,PEAK,181+,Camera Deluxe,45,1,0,0.0
2024,8,PEAK,181+,Camera Superior,74,0,0,0.0
2024,8,PEAK,181+,Suite Familiare Vista Piscina,2,0,0,0.0
2024,8,PEAK,181+,Villino 2Ten,5,0,0,0.0
2024,8,PEAK,181+,Villino Double,2,1,1,50.0
2024,8,PEAK,31-60,Appartamento Area Giardino,38,2,0,0.0
2024,8,PEAK,31-60,Appartamento Area Piscina,161,13,12,7.453416149068323
2024,8,PEAK,31-60,Camera  Standard,122,6,3,2.459016393442623
2024,8,PEAK,31-60,Camera Deluxe,106,3,2,1.8867924528301887
2024,8,PEAK,31-60,Camera Superior,100,4,2,2.0
2024,8,PEAK,31-60,Suite Familiare,4,0,0,0.0
2024,8,PEAK,31-60,Suite Familiare Vista Piscina,1,0,0,0.0
2024,8,PEAK,31-60,Villino 2Ten,4,1,0,0.0
2024,8,PEAK,31-60,Villino Double,3,0,0,0.0
2024,8,PEAK,61-90,Appartamento Area Giardino,13,0,0,0.0
2024,8,PEAK,61-90,Appartamento Area Piscina,87,1,0,0.0
2024,8,PEAK,61-90,Camera  Standard,100,0,0,0.0
2024,8,PEAK,61-90,Camera Deluxe,65,2,2,3.076923076923077
2024,8,PEAK,61-90,Camera Superior,88,0,0,0.0
