stay_year,stay_month_num,room_name,treatment,action_type,recommended_action,economic_value_eur,confidence,decision_date,lead_days_to_stay_month,requests_to_date,historical_requests_same_lead,request_pace_index,timing_status,timing_reason
2025,6,Suite Familiare Vista Piscina,,PRICE_UP,Change ROOM ADR +25% (228.07 → 285.09),1140.35,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,7,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,6576.425,MEDIUM,2025-06-13,18.0,107.0,85.0,1.26,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.26× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,7,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -25% (192.67 → 144.50),903.13,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,7,Suite Familiare Vista Piscina,,PRICE_DOWN,Change ROOM ADR -15% (356.66 → 303.16),102.99,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,7,Villino Double,,PRICE_UP,Change ROOM ADR +25% (261.32 → 326.65),875.06,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,7,Camera Deluxe,,PRICE_UP,Change ROOM ADR +5% (224.18 → 235.39),660.26,MEDIUM,2025-03-25,98.0,111.0,81.0,1.37,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.37× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,8,Appartamento Area Giardino,,PRICE_UP,Change ROOM ADR +10% (167.78 → 184.55),10871.93,MEDIUM,2025-06-06,56.0,275.0,213.0,1.29,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.29× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,8,Camera  Standard,,PRICE_UP,Change ROOM ADR +10% (205.85 → 226.44),6463.78,LOW,2025-04-03,120.0,157.0,122.0,1.29,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.29× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,8,Camera Deluxe,,PRICE_UP,Change ROOM ADR +25% (293.12 → 366.40),4937.23,LOW,2025-03-20,134.0,111.0,81.0,1.37,HISTORICAL_TRIGGER_FOUND,Request pace reached 1.37× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,8,Suite Familiare Vista Piscina,,PRICE_UP,Change ROOM ADR +10% (398.72 → 438.60),838.32,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,8,Villino 2Ten,,PRICE_UP,Change ROOM ADR +25% (360.66 → 450.82),526.02,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,8,Villino Double,,PRICE_UP,Change ROOM ADR +10% (195.71 → 215.29),397.3,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2025,9,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -20% (202.97 → 162.38),1906.17,MEDIUM,2025-07-17,46.0,20.0,144.0,0.14,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.14× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,9,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -25% (201.59 → 151.19),1664.22,MEDIUM,2025-05-14,110.0,20.0,25.0,0.8,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.80× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
2025,9,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (162.01 → 121.51),1520.3,MEDIUM,2025-06-08,85.0,20.0,80.0,0.25,HISTORICAL_TRIGGER_FOUND,Request pace reached 0.25× prior-year(s) pace at the same lead time and remained beyond the trigger for at least 7 days.
