stay_year,stay_month_num,season,booking_window,room_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,conversion_pct,benchmark_adr,comparable_years,comparable_volume,comparable_conversion,comparable_cancel,adr_gap,adr_gap_pct,raw_gross_opportunity,conversion_supported,cancel_supported,confidence,max_uplift_pct,decision,reason
2024,7,PEAK,91-180,Camera Deluxe,11,80,24323.5,302.2927272727273,133.1818181818182,304.04375,8.333333333333334,62.0,4.838709677419355,304.04375,1,80,4.838709677419355,8.333333333333334,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 304.04 vs benchmark 304.04; gap 0.0%; conversion supports uplift; cancellation 8.3%.
2024,6,SHOULDER,61-90,Camera  Standard,36,254,22666.1,89.74,77.27777777777777,89.23661417322835,7.6923076923076925,28.0,10.714285714285714,89.23661417322835,1,254,10.714285714285714,7.6923076923076925,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 89.24 vs benchmark 89.24; gap 0.0%; conversion supports uplift; cancellation 7.7%.
2025,7,PEAK,0-7,Camera  Standard,27,73,7708.2,97.29962962962964,3.7777777777777777,105.59178082191781,22.857142857142858,9.0,11.11111111111111,105.59178082191781,1,73,11.11111111111111,22.857142857142858,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 105.59 vs benchmark 105.59; gap 0.0%; conversion supports uplift; cancellation 22.9%.
2025,6,SHOULDER,91-180,Camera  Standard,10,66,10848.130000000001,160.176,128.5,164.36560606060607,28.571428571428573,50.0,6.0,161.2908712121212,2,201,5.403846153846153,22.61904761904762,-3.074734848484866,-0.01870668032186203,0.0,True,True,HIGH,0.0,HOLD,ADR 164.37 vs benchmark 161.29; gap 0.0%; conversion supports uplift; cancellation 28.6%.
2025,6,SHOULDER,8-14,Appartamento Area Piscina,18,69,8705.06,122.17666666666666,10.88888888888889,126.16028985507246,25.0,31.0,19.35483870967742,126.16028985507246,1,69,19.35483870967742,25.0,0.0,0.0,0.0,True,True,LOW,0.0,HOLD,ADR 126.16 vs benchmark 126.16; gap 0.0%; conversion supports uplift; cancellation 25.0%.
2025,6,SHOULDER,8-14,Camera  Standard,11,38,5483.849999999999,120.7790909090909,10.909090909090908,144.31184210526314,0.0,30.0,30.0,144.31184210526314,1,38,30.0,0.0,0.0,0.0,0.0,True,True,LOW,0.0,HOLD,ADR 144.31 vs benchmark 144.31; gap 0.0%; conversion supports uplift; cancellation 0.0%.
2025,6,SHOULDER,8-14,Appartamento Area Giardino,20,90,15723.279999999999,167.143,10.75,174.7031111111111,13.043478260869565,69.0,14.492753623188406,174.7031111111111,1,90,14.492753623188406,13.043478260869565,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD,ADR 174.70 vs benchmark 174.70; gap 0.0%; conversion supports uplift; cancellation 13.0%.
2025,6,SHOULDER,15-30,Appartamento Area Giardino,18,59,12483.69,200.26833333333332,20.833333333333332,211.58796610169492,5.2631578947368425,119.0,1.680672268907563,174.22386931311328,2,116,0.8403361344537815,12.631578947368421,-37.364096788581634,-0.17658895010420128,0.0,True,True,HIGH,0.0,HOLD,ADR 211.59 vs benchmark 174.22; gap 0.0%; conversion supports uplift; cancellation 5.3%.
2025,6,SHOULDER,0-7,Camera Superior,10,26,3331.55,122.655,3.1,128.13653846153846,28.571428571428573,21.0,38.095238095238095,121.83979020979021,2,48,31.547619047619047,14.285714285714286,-6.296748251748255,-0.0491409267594527,0.0,True,True,MEDIUM,0.0,HOLD,ADR 128.14 vs benchmark 121.84; gap 0.0%; conversion supports uplift; cancellation 28.6%.
2025,6,SHOULDER,31-60,Camera  Standard,17,57,8648.56,143.11117647058822,41.411764705882355,151.72912280701755,26.08695652173913,118.0,1.694915254237288,147.78873948570055,3,174,1.694915254237288,26.08695652173913,-3.9403833213170003,-0.02596985501806879,0.0,True,True,HIGH,0.0,HOLD,ADR 151.73 vs benchmark 147.79; gap 0.0%; conversion supports uplift; cancellation 26.1%.
2025,6,SHOULDER,0-7,Camera  Standard,26,57,6740.71,108.95384615384616,2.6923076923076925,118.2580701754386,16.129032258064516,25.0,40.0,113.40355263157895,2,118,20.0,15.207373271889402,-4.854517543859657,-0.04105020094322415,0.0,True,True,HIGH,0.0,HOLD,ADR 118.26 vs benchmark 113.40; gap 0.0%; conversion supports uplift; cancellation 16.1%.
2025,6,SHOULDER,15-30,Appartamento Area Piscina,12,57,12186.460000000001,192.45749999999998,23.5,213.79754385964915,25.0,59.0,6.779661016949152,207.09408738191635,2,135,5.828854898718479,20.394736842105264,-6.7034564777328,-0.031354225856464434,0.0,True,True,HIGH,0.0,HOLD,ADR 213.80 vs benchmark 207.09; gap 0.0%; conversion supports uplift; cancellation 25.0%.
2024,8,PEAK,0-7,Camera Deluxe,11,72,21351.5,298.26545454545453,5.7272727272727275,296.5486111111111,21.428571428571427,30.0,6.666666666666667,296.5486111111111,1,72,6.666666666666667,21.428571428571427,0.0,0.0,0.0,True,True,LOW,0.0,HOLD,ADR 296.55 vs benchmark 296.55; gap 0.0%; conversion supports uplift; cancellation 21.4%.
2024,8,PEAK,0-7,Camera  Standard,18,93,23652.0,229.02833333333334,3.611111111111111,254.32258064516128,35.714285714285715,70.0,12.857142857142858,224.84403369815666,2,149,16.42857142857143,29.857142857142858,-29.478546947004617,-0.11591006536747123,0.0,False,False,LOW,0.0,HOLD,ADR 254.32 vs benchmark 224.84; gap 0.0%; conversion does not support uplift; cancellation 35.7%.
2024,8,PEAK,91-180,Appartamento Area Piscina,20,189,45428.5,261.639,117.1,240.36243386243387,12.5,188.0,4.25531914893617,225.32815567205478,2,407,3.218002253595811,17.36111111111111,-15.034278190379098,-0.06254836893099375,0.0,True,True,HIGH,0.0,HOLD,ADR 240.36 vs benchmark 225.33; gap 0.0%; conversion supports uplift; cancellation 12.5%.
2024,9,SHOULDER,91-180,Camera  Standard,12,83,6798.0,82.36666666666667,135.16666666666666,81.90361445783132,7.142857142857143,77.0,2.5974025974025974,81.90361445783132,1,83,2.5974025974025974,7.142857142857143,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 81.90 vs benchmark 81.90; gap 0.0%; conversion supports uplift; cancellation 7.1%.
2025,5,SHOULDER,15-30,Appartamento Area Piscina,15,32,7860.049999999999,250.81,22.6,245.62656249999998,16.666666666666668,10.0,70.0,245.62656249999998,1,32,70.0,16.666666666666668,0.0,0.0,0.0,True,True,LOW,0.0,HOLD,ADR 245.63 vs benchmark 245.63; gap 0.0%; conversion supports uplift; cancellation 16.7%.
2025,6,SHOULDER,0-7,Appartamento Area Giardino,34,122,19929.84,167.0805882352941,3.7941176470588234,163.35934426229508,12.820512820512821,55.0,30.90909090909091,147.63099257172132,2,154,18.84437596302003,10.955710955710956,-15.72835169057376,-0.09628069800108775,0.0,True,True,HIGH,0.0,HOLD,ADR 163.36 vs benchmark 147.63; gap 0.0%; conversion supports uplift; cancellation 12.8%.
2024,7,PEAK,91-180,Camera Superior,13,103,25887.0,246.3869230769231,119.6923076923077,251.33009708737865,0.0,108.0,5.555555555555555,238.36253992079713,2,179,3.0136268343815513,10.0,-12.967557166581514,-0.05159571940193518,0.0,True,True,HIGH,0.0,HOLD,ADR 251.33 vs benchmark 238.36; gap 0.0%; conversion supports uplift; cancellation 0.0%.
2025,8,PEAK,0-7,Appartamento Area Giardino,21,125,28852.06,233.17761904761903,4.809523809523809,230.81648,36.36363636363637,82.0,12.195121951219512,230.81648,1,125,12.195121951219512,36.36363636363637,0.0,0.0,0.0,True,False,MEDIUM,0.0,HOLD,ADR 230.82 vs benchmark 230.82; gap 0.0%; conversion supports uplift; cancellation 36.4%.
2025,8,PEAK,15-30,Appartamento Area Piscina,10,63,14272.33,239.752,23.6,226.54492063492063,0.0,202.0,3.9603960396039604,226.54492063492063,1,63,3.9603960396039604,0.0,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 226.54 vs benchmark 226.54; gap 0.0%; conversion supports uplift; cancellation 0.0%.
2025,8,PEAK,15-30,Camera  Standard,15,53,8105.51,119.84866666666667,21.866666666666667,152.93415094339622,34.78260869565217,54.0,11.11111111111111,152.93415094339622,1,53,11.11111111111111,34.78260869565217,0.0,0.0,0.0,True,False,LOW,0.0,HOLD,ADR 152.93 vs benchmark 152.93; gap 0.0%; conversion supports uplift; cancellation 34.8%.
2025,8,PEAK,61-90,Camera  Standard,11,79,20854.09,237.93818181818185,75.27272727272727,263.97582278481013,47.61904761904762,125.0,6.4,263.97582278481013,1,79,6.4,47.61904761904762,0.0,0.0,0.0,True,False,LOW,0.0,HOLD,ADR 263.98 vs benchmark 263.98; gap 0.0%; conversion supports uplift; cancellation 47.6%.
2025,8,PEAK,8-14,Appartamento Area Giardino,10,54,15439.79,269.509,11.0,285.92203703703706,23.076923076923077,63.0,11.11111111111111,285.92203703703706,1,54,11.11111111111111,23.076923076923077,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 285.92 vs benchmark 285.92; gap 0.0%; conversion supports uplift; cancellation 23.1%.
2025,8,PEAK,8-14,Appartamento Area Piscina,11,68,18781.67,279.5081818181818,10.545454545454545,276.2010294117647,26.666666666666668,51.0,15.686274509803921,276.2010294117647,1,68,15.686274509803921,26.666666666666668,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD,ADR 276.20 vs benchmark 276.20; gap 0.0%; conversion supports uplift; cancellation 26.7%.
