stay_year,stay_month_num,season,room_id,room_name,rooms_available,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,adr_booking_mean,days_in_month,available_room_nights,occupancy_pct,realized_adr,revpar,quoted_requests,conversion_pct
2026,6,SHOULDER,2763,Camera Deluxe,5,13,78,15991.64,35,6.0,21.384615384615383,202.08846153846156,30,150,52.0,205.02102564102563,106.61093333333334,455.0,0.43956043956043955
2024,7,PEAK,2763,Camera Deluxe,5,26,179,57680.5,97,6.884615384615385,72.3076923076923,317.7653846153846,31,155,115.48387096774194,322.2374301675978,372.1322580645161,302.0,3.3112582781456954
2025,7,PEAK,2763,Camera Deluxe,5,28,155,34747.58,86,5.535714285714286,55.142857142857146,218.6032142857143,31,155,100.0,224.17793548387098,224.17793548387098,518.0,2.1235521235521237
2026,7,PEAK,2763,Camera Deluxe,5,17,105,36398.69,61,6.176470588235294,52.0,333.2529411764706,31,155,67.74193548387096,346.6541904761905,234.83025806451613,1223.0,0.4088307440719542
2024,8,PEAK,2763,Camera Deluxe,5,28,194,68395.0,111,6.928571428571429,34.357142857142854,340.4667857142857,31,155,125.16129032258064,352.5515463917526,441.258064516129,571.0,2.276707530647986
2025,8,PEAK,2763,Camera Deluxe,5,17,98,28725.7,52,5.764705882352941,77.41176470588235,253.8076470588235,31,155,63.225806451612904,293.119387755102,185.32709677419356,673.0,1.188707280832095
2024,9,SHOULDER,2763,Camera Deluxe,5,17,89,15686.7,52,5.235294117647059,28.823529411764707,169.86176470588236,30,150,59.333333333333336,176.2550561797753,104.578,141.0,2.127659574468085
2025,9,SHOULDER,2763,Camera Deluxe,5,14,63,12700.31,44,4.5,21.642857142857142,206.04714285714286,30,150,42.0,201.5922222222222,84.66873333333334,136.0,5.882352941176471
2025,11,OTHER,2763,Camera Deluxe,5,2,2,0.0,8,1.0,4.0,0.0,30,150,1.3333333333333333,0.0,0.0,,
2024,5,SHOULDER,2762,Camera Superior,8,1,2,690.0,3,2.0,11.0,345.0,31,248,0.8064516129032258,345.0,2.782258064516129,6.0,16.666666666666668
2025,5,SHOULDER,2762,Camera Superior,8,9,22,2124.64,29,2.4444444444444446,23.88888888888889,110.25555555555555,31,248,8.870967741935484,96.57454545454544,8.567096774193548,23.0,26.08695652173913
2026,5,SHOULDER,2762,Camera Superior,8,17,42,6666.38,47,2.4705882352941178,24.0,152.65470588235294,31,248,16.93548387096774,158.72333333333333,26.880564516129034,19.0,5.2631578947368425
2024,6,SHOULDER,2762,Camera Superior,8,34,193,27700.4,91,5.676470588235294,55.11764705882353,135.17147058823528,30,240,80.41666666666667,143.52538860103627,115.41833333333334,169.0,2.9585798816568047
2025,6,SHOULDER,2762,Camera Superior,8,42,195,28399.76,117,4.642857142857143,34.57142857142857,132.19476190476192,30,240,81.25,145.63979487179486,118.33233333333332,369.0,4.336043360433604
2026,6,SHOULDER,2762,Camera Superior,8,44,218,38930.37,124,4.954545454545454,37.61363636363637,159.0131818181818,30,240,90.83333333333333,178.57967889908258,162.209875,337.0,4.154302670623146
2024,7,PEAK,2762,Camera Superior,8,41,245,67205.05,123,5.975609756097561,47.707317073170735,269.0324390243902,31,248,98.79032258064517,274.30632653061224,270.9881048387097,376.0,4.5212765957446805
2025,7,PEAK,2762,Camera Superior,8,50,267,51954.52,144,5.34,58.94,198.84220000000002,31,248,107.66129032258064,194.58621722846442,209.4940322580645,479.0,2.922755741127349
2026,7,PEAK,2762,Camera Superior,8,43,265,69673.71,122,6.162790697674419,56.13953488372093,260.4404651162791,31,248,106.85483870967742,262.9196603773585,280.9423790322581,796.0,2.386934673366834
2024,8,PEAK,2762,Camera Superior,8,39,247,69409.5,127,6.333333333333333,23.82051282051282,249.70666666666665,31,248,99.59677419354838,281.0101214574899,279.87701612903226,570.0,3.1578947368421053
2025,8,PEAK,2762,Camera Superior,8,50,267,68708.18,138,5.34,62.12,240.9136,31,248,107.66129032258064,257.3340074906367,277.04911290322576,613.0,3.2626427406199023
2024,9,SHOULDER,2762,Camera Superior,8,22,121,16815.13,52,5.5,62.0,126.35363636363635,30,240,50.416666666666664,138.96801652892563,70.06304166666668,193.0,0.5181347150259067
2025,9,SHOULDER,2762,Camera Superior,8,27,82,13285.05,64,3.037037037037037,24.666666666666668,150.45555555555555,30,240,34.166666666666664,162.01280487804877,55.354375,116.0,8.620689655172415
2025,11,OTHER,2762,Camera Superior,8,2,2,0.0,6,1.0,4.0,0.0,30,240,0.8333333333333334,0.0,0.0,,
2026,5,SHOULDER,22380,OTA Camera Standard,3,2,4,565.68,5,2.0,20.0,141.42,31,93,4.301075268817204,141.42,6.08258064516129,,
2026,6,SHOULDER,22380,OTA Camera Standard,3,2,6,951.03,4,3.0,20.0,169.85500000000002,30,90,6.666666666666667,158.505,10.567,,
2026,5,SHOULDER,3231,Suite Familiare,1,1,3,420.0,2,3.0,24.0,140.0,31,31,9.67741935483871,140.0,13.548387096774194,3.0,0.0
2024,6,SHOULDER,3231,Suite Familiare,1,4,28,7780.0,13,7.0,54.5,214.5725,30,30,93.33333333333333,277.85714285714283,259.3333333333333,11.0,9.090909090909092
2025,6,SHOULDER,3231,Suite Familiare,1,1,10,2323.5,3,10.0,207.0,232.35,30,30,33.333333333333336,232.35,77.45,8.0,0.0
2026,6,SHOULDER,3231,Suite Familiare,1,5,31,7703.95,13,6.2,70.0,220.65,30,30,103.33333333333333,248.51451612903224,256.79833333333335,31.0,3.225806451612903
2024,7,PEAK,3231,Suite Familiare,1,2,12,4945.0,7,6.0,13.0,408.645,31,31,38.70967741935484,412.0833333333333,159.51612903225808,21.0,4.761904761904762
2025,7,PEAK,3231,Suite Familiare,1,7,32,10153.7,18,4.571428571428571,30.285714285714285,205.56285714285715,31,31,103.2258064516129,317.303125,327.5387096774194,54.0,5.555555555555555
2026,7,PEAK,3231,Suite Familiare,1,1,2,300.0,3,2.0,4.0,150.0,31,31,6.451612903225806,150.0,9.67741935483871,103.0,0.0
2024,8,PEAK,3231,Suite Familiare,1,1,5,2490.0,4,5.0,12.0,498.0,31,31,16.129032258064516,498.0,80.3225806451613,13.0,0.0
2025,8,PEAK,3231,Suite Familiare,1,3,7,1630.0,8,2.3333333333333335,27.0,181.11,31,31,22.580645161290324,232.85714285714286,52.58064516129032,52.0,1.9230769230769231
2024,9,SHOULDER,3231,Suite Familiare,1,2,14,1800.0,6,7.0,65.0,128.57,30,30,46.666666666666664,128.57142857142858,60.0,8.0,0.0
2024,5,SHOULDER,2767,Suite Familiare Vista Piscina,1,1,2,400.0,2,2.0,0.0,200.0,31,31,6.451612903225806,200.0,12.903225806451612,1.0,0.0
2025,5,SHOULDER,2767,Suite Familiare Vista Piscina,1,1,2,0.0,2,2.0,20.0,0.0,31,31,6.451612903225806,0.0,0.0,2.0,0.0
2026,5,SHOULDER,2767,Suite Familiare Vista Piscina,1,1,4,952.0,4,4.0,26.0,238.0,31,31,12.903225806451612,238.0,30.70967741935484,3.0,0.0
2024,6,SHOULDER,2767,Suite Familiare Vista Piscina,1,3,20,4714.5,9,6.666666666666667,85.0,176.93666666666664,30,30,66.66666666666667,235.725,157.15,4.0,25.0
2025,6,SHOULDER,2767,Suite Familiare Vista Piscina,1,4,20,4561.4,14,5.0,75.25,193.87,30,30,66.66666666666667,228.07,152.04666666666665,10.0,0.0
2024,7,PEAK,2767,Suite Familiare Vista Piscina,1,4,27,9897.0,16,6.75,50.0,367.095,31,31,87.09677419354838,366.55555555555554,319.258064516129,17.0,11.764705882352942
2025,7,PEAK,2767,Suite Familiare Vista Piscina,1,1,7,2496.65,4,7.0,73.0,356.66,31,31,22.580645161290324,356.6642857142857,80.53709677419356,185.0,0.0
2026,7,PEAK,2767,Suite Familiare Vista Piscina,1,2,14,5992.45,8,7.0,72.0,428.03,31,31,45.16129032258065,428.03214285714284,193.30483870967743,210.0,0.9523809523809523
2024,8,PEAK,2767,Suite Familiare Vista Piscina,1,4,35,14760.0,16,8.75,10.0,446.9625,31,31,112.90322580645162,421.7142857142857,476.1290322580645,18.0,5.555555555555555
2025,8,PEAK,2767,Suite Familiare Vista Piscina,1,7,29,11563.0,26,4.142857142857143,74.57142857142857,339.8142857142857,31,31,93.54838709677419,398.7241379310345,373.0,43.0,6.976744186046512
2025,11,OTHER,2767,Suite Familiare Vista Piscina,1,1,1,0.0,2,1.0,4.0,0.0,30,30,3.3333333333333335,0.0,0.0,,
2026,5,SHOULDER,5375,Villino 2Ten,1,2,5,561.0,4,2.5,26.0,121.83500000000001,31,31,16.129032258064516,112.2,18.096774193548388,,
2024,6,SHOULDER,5375,Villino 2Ten,1,4,21,2280.0,10,5.25,51.0,113.42750000000001,30,30,70.0,108.57142857142857,76.0,62.0,0.0
2025,6,SHOULDER,5375,Villino 2Ten,1,2,14,1190.0,4,7.0,82.0,85.0,30,30,46.666666666666664,85.0,39.666666666666664,3.0,33.333333333333336
2026,6,SHOULDER,5375,Villino 2Ten,1,4,20,3551.35,8,5.0,28.0,162.6125,30,30,66.66666666666667,177.5675,118.37833333333333,14.0,7.142857142857143
2024,7,PEAK,5375,Villino 2Ten,1,2,13,1473.0,4,6.5,99.0,122.75,31,31,41.935483870967744,113.3076923076923,47.516129032258064,31.0,0.0
2025,7,PEAK,5375,Villino 2Ten,1,2,15,2890.0,5,7.5,101.5,103.215,31,31,48.38709677419355,192.66666666666666,93.2258064516129,2.0,0.0
2026,7,PEAK,5375,Villino 2Ten,1,1,10,2100.0,2,10.0,73.0,210.0,31,31,32.25806451612903,210.0,67.74193548387096,57.0,1.7543859649122806
2024,8,PEAK,5375,Villino 2Ten,1,6,38,8250.5,13,6.333333333333333,60.166666666666664,196.4416666666667,31,31,122.58064516129032,217.1184210526316,266.14516129032256,38.0,7.894736842105263
2025,8,PEAK,5375,Villino 2Ten,1,3,23,8295.15,6,7.666666666666667,30.666666666666668,266.25333333333333,31,31,74.19354838709677,360.6586956521739,267.5854838709677,4.0,0.0
2024,9,SHOULDER,5375,Villino 2Ten,1,1,7,990.0,2,7.0,172.0,141.43,30,30,23.333333333333332,141.42857142857142,33.0,14.0,7.142857142857143
2026,5,SHOULDER,5376,Villino Double,1,2,5,551.9,8,2.5,23.0,120.475,31,31,16.129032258064516,110.38,17.80322580645161,2.0,50.0
2024,6,SHOULDER,5376,Villino Double,1,3,21,5986.5,12,7.0,85.0,285.0733333333333,30,30,70.0,285.07142857142856,199.55,3.0,33.333333333333336
2025,6,SHOULDER,5376,Villino Double,1,1,7,2876.5,4,7.0,118.0,410.93,30,30,23.333333333333332,410.92857142857144,95.88333333333334,3.0,0.0
2026,6,SHOULDER,5376,Villino Double,1,3,23,6425.0,10,7.666666666666667,103.0,284.7866666666667,30,30,76.66666666666667,279.3478260869565,214.16666666666666,18.0,0.0
2024,7,PEAK,5376,Villino Double,1,2,21,8630.5,8,10.5,57.0,402.53499999999997,31,31,67.74193548387096,410.9761904761905,278.4032258064516,28.0,0.0
2025,7,PEAK,5376,Villino Double,1,5,25,6533.05,15,5.0,13.6,204.488,31,31,80.64516129032258,261.322,210.74354838709678,6.0,16.666666666666668
2026,7,PEAK,5376,Villino Double,1,3,23,8199.2,12,7.666666666666667,96.0,352.2033333333334,31,31,74.19354838709677,356.48695652173916,264.49032258064517,51.0,3.9215686274509802
2024,8,PEAK,5376,Villino Double,1,3,29,12047.0,12,9.666666666666666,89.0,414.57,31,31,93.54838709677419,415.41379310344826,388.61290322580646,12.0,8.333333333333334
2025,8,PEAK,5376,Villino Double,1,5,28,5480.0,19,5.6,28.2,179.06599999999997,31,31,90.3225806451613,195.71428571428572,176.7741935483871,14.0,7.142857142857143
2024,9,SHOULDER,5376,Villino Double,1,3,14,3271.0,10,4.666666666666667,46.0,227.49666666666667,30,30,46.666666666666664,233.64285714285714,109.03333333333333,9.0,0.0
2025,9,SHOULDER,5376,Villino Double,1,2,2,0.0,8,1.0,3.0,0.0,30,30,6.666666666666667,0.0,0.0,1.0,0.0
