stay_year,stay_month_num,season,room_name,from_treatment,to_treatment,strategy,eligible_lower_treatment_bookings,observed_higher_treatment_bookings,observed_higher_treatment_share_pct,lower_total_adr,higher_total_adr,package_adr_premium_eur,test_upgrade_rate_pct,expected_test_upgrades,economic_value_proxy_eur,confidence,action_text,note
2026,6,SHOULDER,Camera Superior,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,31,13,29.55,172.07,193.26,21.19,10.0,3.1,320.0,MEDIUM,Camera Superior · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,7,PEAK,Camera Superior,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,15,21,42.0,169.41,219.83,50.42,10.0,1.5,277.3,MEDIUM,Camera Superior · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,8,PEAK,Camera Deluxe,Solo Pernottamento,Pensione Completa,PROMOTE_UPSELL,1,20,71.43,-5.14,368.92,374.07,10.0,0.1,261.85,MEDIUM,Camera Deluxe · month 8: promote Solo Pernottamento → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Camera  Standard,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,24,39,46.99,105.31,145.25,39.93,10.0,2.4,243.6,MEDIUM,Camera  Standard · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2026,7,PEAK,Camera  Standard,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,51,23,31.08,211.36,218.58,7.22,10.0,5.1,214.43,MEDIUM,Camera  Standard · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,9,SHOULDER,Appartamento Area Piscina,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,7,19,63.33,122.48,176.05,53.57,10.0,0.7,187.5,MEDIUM,Appartamento Area Piscina · month 9: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,9,SHOULDER,Appartamento Area Piscina,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,11,19,63.33,183.47,205.57,22.11,10.0,1.1,174.63,MEDIUM,Appartamento Area Piscina · month 9: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,6,SHOULDER,Camera Superior,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,13,20,58.82,136.61,155.23,18.62,10.0,1.3,163.84,MEDIUM,Camera Superior · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Camera Deluxe,Bed & Breakfast,Pensione Completa,PROMOTE_UPSELL,4,13,52.0,111.48,218.02,106.54,10.0,0.4,159.82,MEDIUM,Camera Deluxe · month 6: promote Bed & Breakfast → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,9,SHOULDER,Camera  Standard,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,13,32,52.46,95.09,143.97,48.88,10.0,1.3,151.52,MEDIUM,Camera  Standard · month 9: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
