stay_year,stay_month_num,season,booking_window,arrangement_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,same_treatment_converted,conversion_pct,benchmark_adr,comparable_years,comparable_conversion,comparable_cancel,adr_gap,adr_gap_pct,raw_gross_opportunity,conversion_supported,cancel_supported,confidence,max_uplift_pct,decision
2025,7,PEAK,15-30,Mezza Pensione,23,129,32468.19,234.76391304347825,22.08695652173913,251.6913953488372,37.83783783783784,214.0,14.0,6.542056074766355,293.32227592054267,2,3.8832729353423616,30.03003003003003,41.63088057170546,0.16540446491627667,5370.383593750004,True,False,HIGH,0.15,TEST_SMALL_INCREASE
2024,9,SHOULDER,0-7,Mezza Pensione,30,142,19113.35,134.5413333333333,2.3,134.60105633802817,9.090909090909092,20.0,5.0,25.0,170.4505866651522,2,27.115384615384613,8.333333333333334,35.84953032712403,0.26633914549001675,5090.633306451612,True,True,HIGH,0.15,INCREASE
2025,7,PEAK,0-7,Pensione Completa,34,86,10100.16,111.04529411764706,2.9705882352941178,117.44372093023256,26.08695652173913,78.0,3.0,3.8461538461538463,176.56179673321236,3,3.8461538461538463,26.08695652173913,59.1180758029798,0.5033736613139063,5084.154519056263,True,True,HIGH,0.15,INCREASE
2025,8,PEAK,0-7,Mezza Pensione,22,100,24674.58,225.23772727272726,4.7272727272727275,246.74580000000003,15.384615384615385,81.0,9.0,11.11111111111111,297.3927,2,10.78811369509044,13.692307692307693,50.64689999999996,0.20525942082904736,5064.689999999996,True,True,HIGH,0.15,INCREASE
2025,6,SHOULDER,91-180,Mezza Pensione,13,98,15846.69,167.46692307692308,126.46153846153847,161.70091836734696,7.142857142857143,86.0,5.0,5.813953488372093,211.25678873239437,3,5.813953488372093,16.666666666666668,49.55587036504741,0.3064662270653774,4856.475295774646,True,True,HIGH,0.15,INCREASE
2024,7,PEAK,31-60,Pensione Completa,16,118,29996.0,257.35,46.25,254.20338983050848,23.80952380952381,188.0,6.0,3.1914893617021276,294.9522006686363,2,1.7213728215545814,14.404761904761905,40.74881083812781,0.1603000293005428,4808.359678899082,True,True,HIGH,0.15,INCREASE
2025,7,PEAK,31-60,Mezza Pensione,25,169,39089.07,227.0932,44.76,231.2962721893491,26.470588235294116,249.0,15.0,6.024096385542169,256.94429532006455,2,3.7555426165629058,16.461100569259962,25.648023130715444,0.11088818201842382,4334.51590909091,True,True,HIGH,0.11088818201842382,INCREASE
2025,8,PEAK,0-7,Pensione Completa,23,93,18128.15,146.14521739130436,3.739130434782609,194.92634408602152,42.5,89.0,4.0,4.49438202247191,239.19323374877808,2,7.375396139441084,39.74315068493151,44.26688966275657,0.22709546967762076,4116.820738636361,False,False,MEDIUM,0.15,HOLD
2025,7,PEAK,8-14,Mezza Pensione,20,94,25151.63,259.244,11.2,267.57053191489365,9.090909090909092,91.0,7.0,7.6923076923076925,309.58526595744684,3,5.426356589147287,9.090909090909092,42.01473404255319,0.15702302395510745,3949.3849999999993,True,True,HIGH,0.15,INCREASE
2025,7,PEAK,61-90,Mezza Pensione,18,117,27806.65,228.20722222222219,73.11111111111111,237.66367521367522,30.76923076923077,139.0,5.0,3.597122302158273,268.8647796481937,3,3.597122302158273,22.641509433962263,31.20110443451847,0.13128259674713283,3650.529218838661,True,False,MEDIUM,0.13128259674713283,TEST_SMALL_INCREASE
2025,7,PEAK,8-14,Pensione Completa,15,73,16612.7,159.906,10.666666666666666,227.57123287671234,34.78260869565217,121.0,2.0,1.6528925619834711,276.7730713770728,2,5.550855729810633,26.850763807285546,49.20183850036048,0.216204121577246,3591.734210526315,False,False,LOW,0.15,HOLD
2025,8,PEAK,15-30,Pensione Completa,11,37,8640.5,180.9018181818182,21.818181818181817,233.52702702702703,31.25,215.0,7.0,3.255813953488372,325.1635749385749,2,5.28644356211004,25.625,91.6365479115479,0.3924023230978846,3390.552272727272,False,False,LOW,0.15,HOLD
2026,5,SHOULDER,15-30,Pensione Completa,47,142,26855.03,179.0795744680851,25.425531914893618,189.11992957746477,6.0,10.0,0.0,0.0,209.6968941590721,2,6.862745098039215,10.142857142857142,20.576964581607314,0.10880378724537783,2921.9289705882384,False,True,MEDIUM,0.10880378724537783,HOLD
2026,7,PEAK,8-14,Mezza Pensione,15,57,14814.720000000001,243.30133333333333,11.533333333333333,259.90736842105264,11.764705882352942,93.0,5.0,5.376344086021505,309.58526595744684,3,5.426356589147287,9.090909090909092,49.6778975363942,0.19113693404765458,2831.640159574469,True,True,HIGH,0.15,INCREASE
2026,6,SHOULDER,0-7,Pensione Completa,22,71,7545.860000000001,89.86181818181818,2.5454545454545454,106.27971830985916,15.384615384615385,54.0,1.0,1.8518518518518519,143.1108903133903,3,5.2631578947368425,25.0,36.83117200353115,0.34654939427059495,2615.0132122507116,False,True,HIGH,0.15,HOLD
2026,6,SHOULDER,8-14,Mezza Pensione,21,73,11012.94,160.4995238095238,11.857142857142858,150.86219178082192,4.545454545454546,44.0,5.0,11.363636363636363,185.9684352009055,3,11.363636363636363,15.625,35.10624342008359,0.232704052656793,2562.755769666102,True,True,HIGH,0.15,INCREASE
2025,6,SHOULDER,8-14,Mezza Pensione,27,114,18944.2,148.77555555555557,10.814814814814815,166.17719298245615,15.625,85.0,12.0,14.117647058823529,185.9684352009055,3,11.363636363636363,15.625,19.791242218449355,0.1190972230499692,2256.2016129032263,True,True,HIGH,0.1190972230499692,INCREASE
2026,6,SHOULDER,15-30,Pensione Completa,20,90,17568.16,193.01600000000002,23.4,195.20177777777778,13.043478260869565,119.0,3.0,2.5210084033613445,219.8112970521542,3,2.094240837696335,13.043478260869565,24.609519274376424,0.12607220873978142,2214.856734693878,True,True,HIGH,0.12607220873978142,INCREASE
2025,6,SHOULDER,31-60,Mezza Pensione,25,157,30567.43,191.872,42.12,194.69700636942676,28.571428571428573,196.0,10.0,5.1020408163265305,208.68350318471337,3,6.60377358490566,28.571428571428573,13.986496815286614,0.07183724637629,2195.8799999999983,False,True,HIGH,0.07183724637629,HOLD
2024,6,SHOULDER,8-14,Pensione Completa,14,40,4732.0,87.82714285714285,10.357142857142858,118.3,15.789473684210526,58.0,1.0,1.7241379310344827,163.98222222222222,2,5.700778642936596,21.783625730994153,45.68222222222222,0.3861557246172631,1827.2888888888888,False,True,MEDIUM,0.15,HOLD
2026,7,PEAK,61-90,Mezza Pensione,41,311,82246.74,263.49341463414635,76.14634146341463,264.4589710610933,22.641509433962263,229.0,16.0,6.986899563318778,268.8647796481937,3,3.597122302158273,22.641509433962263,4.40580858710041,0.016659705546848754,1370.2064705882274,True,True,HIGH,0.016659705546848754,HOLD
2026,6,SHOULDER,0-7,Mezza Pensione,41,113,16279.0,149.2580487804878,2.5365853658536586,144.06194690265488,4.651162790697675,54.0,7.0,12.962962962962964,154.6494615458076,2,19.71677559912854,6.580900544285008,10.58751464315273,0.07349279161350564,1196.3891546762584,False,True,HIGH,0.07349279161350564,HOLD
2024,6,SHOULDER,0-7,Pensione Completa,21,104,13694.0,119.11809523809524,2.619047619047619,131.67307692307693,25.0,38.0,2.0,5.2631578947368425,143.1108903133903,3,5.2631578947368425,25.0,11.43781339031338,0.08686523971028125,1189.5325925925915,True,True,HIGH,0.08686523971028125,INCREASE
2026,7,PEAK,0-7,Pensione Completa,13,38,5600.0,98.7176923076923,0.38461538461538464,147.3684210526316,38.095238095238095,101.0,1.0,0.9900990099009901,176.56179673321236,3,3.8461538461538463,26.08695652173913,29.193375680580772,0.19809790640394093,1109.3482758620694,False,False,LOW,0.15,HOLD
2025,8,PEAK,8-14,Pensione Completa,11,54,16791.3,270.51545454545453,10.545454545454545,310.95,50.0,97.0,4.0,4.123711340206185,328.95924657534243,2,7.731958762886598,41.17647058823529,18.009246575342445,0.05791685665008022,972.499315068492,False,False,LOW,0.05791685665008022,HOLD
2025,8,PEAK,31-60,Pensione Completa,11,67,19097.95,248.49636363636364,49.09090909090909,285.04402985074626,26.666666666666668,372.0,3.0,0.8064516129032258,297.3256927773719,2,2.3487510982804065,21.666666666666668,12.281662926625643,0.04308689760335105,822.8714160839181,False,True,MEDIUM,0.04308689760335105,HOLD
2025,9,SHOULDER,0-7,Pensione Completa,21,57,9039.93,110.81285714285715,2.9047619047619047,158.59526315789475,8.695652173913043,35.0,4.0,11.428571428571429,171.28591256366724,2,9.714285714285715,13.871635610766045,12.69064940577249,0.08001909485239729,723.367016129032,True,True,HIGH,0.08001909485239729,INCREASE
2026,6,SHOULDER,91-180,Mezza Pensione,20,165,34196.36,207.0855,111.2,207.25066666666666,28.571428571428573,194.0,8.0,4.123711340206185,211.25678873239437,3,5.813953488372093,16.666666666666668,4.006122065727709,0.01932983922397214,661.010140845072,False,True,HIGH,0.01932983922397214,HOLD
2024,7,PEAK,0-7,Mezza Pensione,10,49,14284.55,253.92200000000003,3.5,291.52142857142854,16.666666666666668,60.0,2.0,3.3333333333333335,304.31036813186813,3,3.3333333333333335,9.090909090909092,12.788939560439587,0.043869638067810315,626.6580384615397,True,True,HIGH,0.043869638067810315,TEST_SMALL_INCREASE
2026,6,SHOULDER,31-60,Pensione Completa,14,99,21776.07,214.10714285714286,44.5,219.96030303030304,6.666666666666667,167.0,4.0,2.395209580838323,222.74345048422367,3,2.395209580838323,15.384615384615385,2.783147453920634,0.012652953353756796,275.5315979381428,True,True,HIGH,0.012652953353756796,HOLD
2026,6,SHOULDER,15-30,Mezza Pensione,39,203,38729.13,183.28051282051283,20.58974358974359,190.78389162561575,18.75,104.0,12.0,11.538461538461538,191.65150387985526,2,7.250712250712251,20.3125,0.8676122542395035,0.004547617971553175,176.1252876106192,True,True,HIGH,0.004547617971553175,HOLD
2024,7,PEAK,91-180,Formula Residence,21,189,0.0,0.0,105.33333333333333,0.0,8.695652173913043,,,,0.0,1,,8.695652173913043,0.0,,0.0,True,True,MEDIUM,,HOLD
2024,7,PEAK,8-14,Pensione Completa,30,190,55703.0,258.25600000000003,10.1,293.1736842105263,18.91891891891892,127.0,12.0,9.448818897637794,276.7730713770728,2,5.550855729810633,26.850763807285546,-16.400612833453465,-0.05594162681284955,0.0,True,True,HIGH,0.0,HOLD
2024,6,SHOULDER,91-180,Pensione Completa,54,420,83828.4,194.57722222222222,125.74074074074075,199.59142857142857,1.7857142857142858,162.0,10.0,6.172839506172839,199.59142857142857,1,6.172839506172839,1.7857142857142858,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2024,6,SHOULDER,91-180,Mezza Pensione,29,213,45851.0,217.40413793103448,126.41379310344827,215.26291079812208,16.666666666666668,148.0,11.0,7.4324324324324325,211.25678873239437,3,5.813953488372093,16.666666666666668,-4.006122065727709,-0.018610368367102177,0.0,True,True,HIGH,0.0,HOLD
2024,6,SHOULDER,61-90,Pensione Completa,50,360,41845.5,111.821,77.54,116.2375,15.0,72.0,9.0,12.5,116.2375,1,12.5,15.0,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2024,6,SHOULDER,31-60,Mezza Pensione,13,100,22267.0,239.65846153846152,45.46153846153846,222.67,18.75,106.0,7.0,6.60377358490566,208.68350318471337,3,6.60377358490566,28.571428571428573,-13.986496815286614,-0.06281266814248267,0.0,True,True,HIGH,0.0,HOLD
2025,6,SHOULDER,8-14,Pensione Completa,13,54,9677.32,167.58692307692309,11.076923076923077,179.20962962962963,27.77777777777778,62.0,6.0,9.67741935483871,163.98222222222222,2,5.700778642936596,21.783625730994153,-15.227407407407412,-0.0849698056900051,0.0,True,True,HIGH,0.0,HOLD
2025,6,SHOULDER,8-14,Bed & Breakfast,13,40,4496.0599999999995,110.75846153846155,11.0,112.40149999999998,0.0,31.0,4.0,12.903225806451612,112.40149999999998,1,12.903225806451612,0.0,0.0,0.0,0.0,True,True,LOW,0.0,HOLD
2025,6,SHOULDER,31-60,Bed & Breakfast,16,57,5717.91,74.42875000000001,39.125,100.31421052631579,20.0,51.0,1.0,1.9607843137254901,100.31421052631579,1,1.9607843137254901,20.0,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,6,SHOULDER,31-60,Pensione Completa,20,97,21876.08,220.9705,44.95,225.52659793814433,37.5,385.0,7.0,1.8181818181818181,222.74345048422367,3,2.395209580838323,15.384615384615385,-2.7831474539206624,-0.012340661719572439,0.0,False,False,MEDIUM,0.0,HOLD
2025,6,SHOULDER,181+,Pensione Completa,10,69,13067.5,185.965,202.7,189.3840579710145,9.090909090909092,2.0,0.0,0.0,189.3840579710145,1,0.0,9.090909090909092,0.0,0.0,0.0,True,True,LOW,0.0,HOLD
2025,6,SHOULDER,15-30,Bed & Breakfast,18,53,5861.82,108.59611111111111,22.666666666666668,110.60037735849056,18.181818181818183,42.0,4.0,9.523809523809524,110.60037735849056,1,9.523809523809524,18.181818181818183,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,6,SHOULDER,15-30,Mezza Pensione,25,113,21689.3,197.78920000000002,22.16,191.94070796460176,21.875,135.0,4.0,2.962962962962963,191.65150387985526,2,7.250712250712251,20.3125,-0.28920408474650117,-0.0015067365740874365,0.0,False,True,HIGH,0.0,HOLD
2025,6,SHOULDER,15-30,Pensione Completa,13,49,11976.619999999999,226.42923076923077,23.153846153846153,244.4208163265306,0.0,191.0,4.0,2.094240837696335,219.8112970521542,3,2.094240837696335,13.043478260869565,-24.609519274376396,-0.1006850383868273,0.0,True,True,HIGH,0.0,HOLD
2025,6,SHOULDER,0-7,Mezza Pensione,43,139,21986.83,154.92232558139534,3.302325581395349,158.17863309352518,8.51063829787234,68.0,18.0,26.470588235294116,154.6494615458076,2,19.71677559912854,6.580900544285008,-3.529171547717567,-0.02231130386384676,0.0,True,True,HIGH,0.0,HOLD
2025,6,SHOULDER,0-7,Bed & Breakfast,28,63,5774.85,98.87035714285715,3.107142857142857,91.66428571428573,17.647058823529413,29.0,2.0,6.896551724137931,91.66428571428573,1,6.896551724137931,17.647058823529413,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,5,SHOULDER,15-30,Pensione Completa,24,51,11044.35,220.09375,23.0,216.55588235294118,14.285714285714286,51.0,7.0,13.72549019607843,209.6968941590721,2,6.862745098039215,10.142857142857142,-6.858988193869095,-0.03167306341136634,0.0,True,True,HIGH,0.0,HOLD
2025,6,SHOULDER,0-7,Pensione Completa,15,54,8345.63,168.01200000000003,3.7333333333333334,154.5487037037037,42.30769230769231,54.0,6.0,11.11111111111111,143.1108903133903,3,5.2631578947368425,25.0,-11.43781339031338,-0.07400782482292201,0.0,True,False,MEDIUM,0.0,HOLD
2024,9,SHOULDER,91-180,Pensione Completa,16,107,13462.5,129.575625,129.1875,125.8177570093458,18.181818181818183,175.0,4.0,2.2857142857142856,125.8177570093458,1,2.2857142857142856,18.181818181818183,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2024,9,SHOULDER,31-60,Pensione Completa,15,74,13866.0,130.77133333333333,49.6,187.3783783783784,28.571428571428573,112.0,3.0,2.6785714285714284,187.3783783783784,1,2.6785714285714284,28.571428571428573,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2024,9,SHOULDER,8-14,Pensione Completa,10,57,8752.0,139.78699999999998,10.7,153.5438596491228,28.571428571428573,71.0,1.0,1.408450704225352,153.5438596491228,1,1.408450704225352,28.571428571428573,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2024,9,SHOULDER,91-180,Mezza Pensione,20,141,18348.0,128.156,149.55,130.12765957446808,9.090909090909092,201.0,2.0,0.9950248756218906,130.12765957446808,1,0.9950248756218906,9.090909090909092,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2024,8,PEAK,0-7,Pensione Completa,46,264,67042.5,220.64565217391305,4.456521739130435,253.94886363636363,36.986301369863014,78.0,8.0,10.256410256410257,239.19323374877808,2,7.375396139441084,39.74315068493151,-14.755629887585542,-0.058104728945409,0.0,True,False,HIGH,0.0,HOLD
2024,8,PEAK,31-60,Pensione Completa,20,143,43103.0,299.9145,41.55,301.4195804195804,16.666666666666668,257.0,10.0,3.8910505836575875,297.3256927773719,2,2.3487510982804065,21.666666666666668,-4.093887642208529,-0.01358202289482912,0.0,True,True,HIGH,0.0,HOLD
2024,8,PEAK,31-60,Mezza Pensione,12,92,38972.0,422.9391666666666,42.75,423.60869565217394,0.0,294.0,10.0,3.401360544217687,387.56384316770186,2,3.147625609729422,7.6923076923076925,-36.044852484472074,-0.0850899730209235,0.0,True,True,HIGH,0.0,HOLD
2024,9,SHOULDER,0-7,Pensione Completa,16,62,10882.0,160.773125,2.4375,175.51612903225808,19.047619047619047,25.0,2.0,8.0,171.28591256366724,2,9.714285714285715,13.871635610766045,-4.230216468590839,-0.02410158252643191,0.0,False,True,LOW,0.0,HOLD
2024,8,PEAK,91-180,Solo Pernottamento,33,287,240.0,1.039090909090909,125.24242424242425,0.8362369337979094,0.0,,,,0.8362369337979094,1,,0.0,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2024,8,PEAK,91-180,Pensione Completa,75,598,82244.5,117.92,126.53333333333333,137.5326086956522,12.5,317.0,12.0,3.7854889589905363,137.5326086956522,1,3.7854889589905363,12.5,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2024,8,PEAK,91-180,Mezza Pensione,23,196,56246.0,294.37565217391307,124.3913043478261,286.96938775510205,7.407407407407407,334.0,8.0,2.395209580838323,273.3206062171704,2,2.6574588050177015,19.36635430611334,-13.648781537931654,-0.04756180317595214,0.0,True,True,HIGH,0.0,HOLD
2024,8,PEAK,8-14,Pensione Completa,23,146,48904.5,291.49478260869563,10.304347826086957,334.96232876712327,32.35294117647059,97.0,11.0,11.34020618556701,328.95924657534243,2,7.731958762886598,41.17647058823529,-6.003082191780834,-0.017921663650584337,0.0,True,False,HIGH,0.0,HOLD
2024,8,PEAK,0-7,Mezza Pensione,22,120,37713.0,287.0081818181818,3.4545454545454546,314.275,12.0,86.0,9.0,10.465116279069768,297.3927,2,10.78811369509044,13.692307692307693,-16.882299999999987,-0.053718240394558865,0.0,True,True,HIGH,0.0,HOLD
2024,8,PEAK,15-30,Pensione Completa,16,110,39128.0,343.58875,24.5625,355.7090909090909,20.0,205.0,15.0,7.317073170731708,325.1635749385749,2,5.28644356211004,25.625,-30.545515970515964,-0.08587218249736138,0.0,True,True,HIGH,0.0,HOLD
2024,6,SHOULDER,8-14,Mezza Pensione,11,62,12757.1,183.91,11.818181818181818,205.75967741935486,31.25,65.0,5.0,7.6923076923076925,185.9684352009055,3,11.363636363636363,15.625,-19.791242218449355,-0.09618620356851164,0.0,False,False,LOW,0.0,HOLD
2024,7,PEAK,0-7,Pensione Completa,29,145,29834.5,192.58413793103446,3.5517241379310347,205.7551724137931,21.62162162162162,51.0,4.0,7.8431372549019605,176.56179673321236,3,3.8461538461538463,26.08695652173913,-29.193375680580743,-0.14188404275869237,0.0,True,True,HIGH,0.0,HOLD
2024,7,PEAK,61-90,Mezza Pensione,11,85,23228.0,259.2827272727273,79.0,273.2705882352941,0.0,66.0,1.0,1.5151515151515151,268.8647796481937,3,3.597122302158273,22.641509433962263,-4.40580858710041,-0.016122512911293907,0.0,False,True,MEDIUM,0.0,HOLD
2024,7,PEAK,8-14,Mezza Pensione,11,55,19338.0,376.0318181818182,10.363636363636363,351.6,0.0,129.0,7.0,5.426356589147287,309.58526595744684,3,5.426356589147287,9.090909090909092,-42.01473404255319,-0.11949583061021953,0.0,True,True,HIGH,0.0,HOLD
2025,7,PEAK,91-180,Only Bed,32,308,20031.98,69.8509375,130.6875,65.0388961038961,5.882352941176471,24.0,0.0,0.0,65.0388961038961,1,0.0,5.882352941176471,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,7,PEAK,91-180,Bed & Breakfast,16,112,13468.81,127.093125,118.5625,120.25723214285713,30.434782608695652,84.0,1.0,1.1904761904761905,120.25723214285713,1,1.1904761904761905,30.434782608695652,0.0,0.0,0.0,True,False,LOW,0.0,HOLD
2025,9,SHOULDER,0-7,Bed & Breakfast,22,58,6544.01,110.20636363636363,3.227272727272727,112.82775862068966,8.333333333333334,21.0,2.0,9.523809523809524,112.82775862068966,1,9.523809523809524,8.333333333333334,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,8,PEAK,91-180,Only Bed,49,450,43801.7,86.8165306122449,150.20408163265307,97.3371111111111,5.769230769230769,103.0,1.0,0.970873786407767,97.3371111111111,1,0.970873786407767,5.769230769230769,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2025,8,PEAK,91-180,Bed & Breakfast,22,148,21424.1,140.91590909090908,141.8181818181818,144.7574324324324,37.142857142857146,160.0,0.0,0.0,144.7574324324324,1,0.0,37.142857142857146,0.0,0.0,0.0,True,False,MEDIUM,0.0,HOLD
2025,8,PEAK,8-14,Mezza Pensione,19,84,21668.25,244.25684210526316,9.947368421052632,257.95535714285717,5.0,84.0,8.0,9.523809523809524,257.95535714285717,1,9.523809523809524,5.0,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,8,PEAK,61-90,Mezza Pensione,22,166,53443.11,306.87,72.95454545454545,321.94644578313256,26.666666666666668,292.0,9.0,3.0821917808219177,321.94644578313256,1,3.0821917808219177,26.666666666666668,0.0,0.0,0.0,True,True,HIGH,0.0,HOLD
2025,8,PEAK,61-90,Pensione Completa,10,76,22017.35,269.41700000000003,77.5,289.7019736842105,37.5,400.0,4.0,1.0,289.7019736842105,1,1.0,37.5,0.0,0.0,0.0,True,False,LOW,0.0,HOLD
2025,8,PEAK,15-30,Bed & Breakfast,13,53,7540.75,145.73384615384614,24.076923076923077,142.27830188679246,13.333333333333334,57.0,4.0,7.017543859649122,142.27830188679246,1,7.017543859649122,13.333333333333334,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,8,PEAK,15-30,Mezza Pensione,15,73,17478.08,237.31666666666666,22.4,239.42575342465756,25.0,197.0,10.0,5.0761421319796955,239.42575342465756,1,5.0761421319796955,25.0,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,8,PEAK,0-7,Bed & Breakfast,18,64,11108.87,179.485,2.611111111111111,173.57609375,18.181818181818183,38.0,8.0,21.05263157894737,173.57609375,1,21.05263157894737,18.181818181818183,0.0,0.0,0.0,True,True,LOW,0.0,HOLD
2025,7,PEAK,15-30,Pensione Completa,13,61,20180.21,260.69461538461536,21.23076923076923,330.82311475409836,27.77777777777778,231.0,8.0,3.463203463203463,330.82311475409836,1,3.463203463203463,27.77777777777778,0.0,0.0,0.0,True,True,MEDIUM,0.0,HOLD
2025,7,PEAK,0-7,Bed & Breakfast,17,40,5847.95,138.9435294117647,3.411764705882353,146.19875,19.047619047619047,31.0,1.0,3.225806451612903,146.19875,1,3.225806451612903,19.047619047619047,0.0,0.0,0.0,True,True,LOW,0.0,HOLD
2025,7,PEAK,15-30,Bed & Breakfast,13,70,13321.34,189.9569230769231,20.846153846153847,190.30485714285714,31.57894736842105,71.0,2.0,2.816901408450704,190.30485714285714,1,2.816901408450704,31.57894736842105,0.0,0.0,0.0,True,False,LOW,0.0,HOLD
2025,7,PEAK,31-60,Bed & Breakfast,12,72,12973.55,178.97166666666666,47.583333333333336,180.18819444444443,33.333333333333336,65.0,4.0,6.153846153846154,180.18819444444443,1,6.153846153846154,33.333333333333336,0.0,0.0,0.0,True,False,LOW,0.0,HOLD
