scenario,room_name,stay_year,stay_month_num,season,booking_window,decision,confidence,historical_room_nights,historical_adr,benchmark_adr,simulated_adr,applied_uplift_pct,assumed_volume_retention_pct,historical_revenue,simulated_revenue,incremental_revenue,incremental_revenue_pct,break_even_volume_loss_pct,reason
full_optimization,Camera  Standard,2025,7,PEAK,31-60,TEST_SMALL_INCREASE,HIGH,112,179.17,211.86,202.01,12.75,90.0,20066.66,20362.64,295.98,1.47,11.31,ADR 179.17 vs benchmark 211.86; gap 18.2%; conversion supports uplift; cancellation 39.4%.
recommended,Camera  Standard,2025,7,PEAK,8-14,INCREASE,MEDIUM,50,170.75,224.49,186.11,9.0,95.0,8537.32,8840.39,303.07,3.55,8.26,ADR 170.75 vs benchmark 224.49; gap 31.5%; conversion supports uplift; cancellation 6.2%.
full_optimization,Camera  Standard,2025,7,PEAK,8-14,INCREASE,MEDIUM,50,170.75,224.49,192.52,12.75,90.0,8537.32,8663.25,125.93,1.48,11.31,ADR 170.75 vs benchmark 224.49; gap 31.5%; conversion supports uplift; cancellation 6.2%.
recommended,Appartamento Area Piscina,2025,6,SHOULDER,0-7,INCREASE,MEDIUM,41,128.67,165.41,140.25,9.0,95.0,5275.31,5462.58,187.27,3.55,8.26,ADR 128.67 vs benchmark 165.41; gap 28.6%; conversion supports uplift; cancellation 0.0%.
full_optimization,Appartamento Area Piscina,2025,6,SHOULDER,0-7,INCREASE,MEDIUM,41,128.67,165.41,145.07,12.75,90.0,5275.31,5353.12,77.81,1.48,11.31,ADR 128.67 vs benchmark 165.41; gap 28.6%; conversion supports uplift; cancellation 0.0%.
low_adoption,Appartamento Area Piscina,2025,6,SHOULDER,31-60,TEST_SMALL_INCREASE,HIGH,137,206.87,217.56,210.61,1.81,98.0,28341.44,28276.71,-64.73,-0.23,1.78,ADR 206.87 vs benchmark 217.56; gap 5.2%; conversion supports uplift; cancellation 38.2%.
recommended,Appartamento Area Piscina,2025,6,SHOULDER,31-60,TEST_SMALL_INCREASE,HIGH,137,206.87,217.56,213.28,3.1,95.0,28341.44,27758.75,-582.69,-2.06,3.01,ADR 206.87 vs benchmark 217.56; gap 5.2%; conversion supports uplift; cancellation 38.2%.
full_optimization,Appartamento Area Piscina,2025,6,SHOULDER,31-60,TEST_SMALL_INCREASE,HIGH,137,206.87,217.56,215.95,4.39,90.0,28341.44,26627.13,-1714.31,-6.05,4.21,ADR 206.87 vs benchmark 217.56; gap 5.2%; conversion supports uplift; cancellation 38.2%.
recommended,Camera Superior,2025,7,PEAK,0-7,INCREASE,MEDIUM,18,168.43,232.21,183.58,9.0,95.0,3031.66,3139.28,107.62,3.55,8.26,ADR 168.43 vs benchmark 232.21; gap 37.9%; conversion supports uplift; cancellation 8.3%.
full_optimization,Camera Superior,2025,7,PEAK,0-7,INCREASE,MEDIUM,18,168.43,232.21,189.9,12.75,90.0,3031.66,3076.38,44.72,1.47,11.31,ADR 168.43 vs benchmark 232.21; gap 37.9%; conversion supports uplift; cancellation 8.3%.
recommended,Camera  Standard,2025,7,PEAK,91-180,TEST_SMALL_INCREASE,MEDIUM,64,181.71,195.4,189.93,4.52,95.0,11629.48,11547.5,-81.98,-0.7,4.33,ADR 181.71 vs benchmark 195.40; gap 7.5%; conversion supports uplift; cancellation 56.5%.
full_optimization,Camera  Standard,2025,7,PEAK,91-180,TEST_SMALL_INCREASE,MEDIUM,64,181.71,195.4,193.35,6.4,90.0,11629.48,11136.91,-492.57,-4.24,6.02,ADR 181.71 vs benchmark 195.40; gap 7.5%; conversion supports uplift; cancellation 56.5%.
recommended,Camera  Standard,2026,6,SHOULDER,31-60,TEST_SMALL_INCREASE,MEDIUM,73,143.85,147.79,146.21,1.64,95.0,10500.93,10139.84,-361.09,-3.44,1.62,ADR 143.85 vs benchmark 147.79; gap 2.7%; conversion supports uplift; cancellation 35.3%.
full_optimization,Camera  Standard,2026,6,SHOULDER,31-60,TEST_SMALL_INCREASE,MEDIUM,73,143.85,147.79,147.2,2.33,90.0,10500.93,9670.89,-830.04,-7.9,2.28,ADR 143.85 vs benchmark 147.79; gap 2.7%; conversion supports uplift; cancellation 35.3%.
