stay_year,stay_month_num,room_name,treatment,action_type,action,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,economic_value_eur,economic_value_type,confidence,evidence,why
2026,7,Appartamento Area Piscina,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Piscina · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,990.75,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 23.6% of bookings in this room-month; observed total-ADR premium €30.02.
2026,7,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -25% (210.00 → 157.50),32.26,56.45,67.74,88.91,656.25,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (67.74 -> 88.91) under the estimated price-volume response.
2026,7,Suite Familiare Vista Piscina,,PRICE_DOWN,Change ROOM ADR -15% (428.03 → 363.83),45.16,55.32,193.3,201.28,247.19,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (193.30 -> 201.28) under the estimated price-volume response.
2026,7,Camera  Standard,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Camera  Standard · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,214.43,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 31.1% of bookings in this room-month; observed total-ADR premium €7.22.
2026,7,Suite Familiare,,PRICE_DOWN,Change ROOM ADR -25% (150.00 → 112.50),6.45,11.29,9.68,12.7,93.75,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (9.68 -> 12.70) under the estimated price-volume response.
2026,7,Appartamento Area Piscina,Only Bed → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Piscina · month 7: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,,,,,62.3,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 65.3% of bookings in this room-month; observed total-ADR premium €311.48.
2025,5,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -25% (223.47 → 167.60),8.29,14.52,18.54,24.33,2514.06,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (18.54 -> 24.33) under the estimated price-volume response.
2025,5,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -25% (206.84 → 155.13),6.81,11.92,14.09,18.49,2456.27,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (14.09 -> 18.49) under the estimated price-volume response.
2025,5,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (96.57 → 72.43),8.87,15.52,8.57,11.24,663.95,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (8.57 -> 11.24) under the estimated price-volume response.
2025,5,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -15% (141.99 → 120.69),4.03,4.94,5.73,5.96,204.99,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (5.73 -> 5.96) under the estimated price-volume response.
2025,5,Appartamento Area Piscina,Bed & Breakfast → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Piscina · month 5: promote Bed & Breakfast → Pensione Completa to a controlled test cohort (10% target).,,,,,69.46,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 82.3% of bookings in this room-month; observed total-ADR premium €231.55.
2025,5,Appartamento Area Piscina,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Piscina · month 5: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,24.4,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 82.3% of bookings in this room-month; observed total-ADR premium €48.81.
2025,5,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -15% (47.00 → 39.95),3.23,3.95,1.52,1.58,9.69,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (1.52 -> 1.58) under the estimated price-volume response.
2025,6,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -25% (169.67 → 127.25),55.24,91.4,93.72,116.3,18969.28,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected -25% because it maximizes modeled RevPAR (93.72 -> 116.30) under the estimated price-volume response.
2025,6,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -20% (174.88 → 139.91),71.3,96.6,124.69,135.16,5654.42,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected -20% because it maximizes modeled RevPAR (124.69 -> 135.16) under the estimated price-volume response.
2025,6,Camera Superior,,PRICE_UP,Change ROOM ADR +25% (145.64 → 182.05),81.25,76.17,118.33,138.67,4881.21,MODELED_REVENUE,LOW,PRIOR,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (118.33 -> 138.67) under the estimated price-volume response.
2025,6,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,Test TOTAL PACKAGE ADR +10% for Mezza Pensione,,,,,3635.7589999999996,NON_ADDITIVE_PACKAGE_SIMULATION,HIGH,OBSERVED_YOY_PRICE_AND_VOLUME,Total ADR YoY +5.4% while room-night volume YoY -3.5%.
2025,6,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -5% (201.29 → 191.22),84.0,96.6,169.08,184.72,2346.0,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (169.08 -> 184.72) under the estimated price-volume response.
2025,6,Suite Familiare Vista Piscina,,PRICE_UP,Change ROOM ADR +25% (228.07 → 285.09),66.67,66.67,152.05,190.06,1140.35,MODELED_REVENUE,MEDIUM,OBSERVED,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (152.05 -> 190.06) under the estimated price-volume response.
2025,6,Appartamento Area Giardino,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Giardino · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,1048.78,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 22.7% of bookings in this room-month; observed total-ADR premium €47.46.
2025,6,Appartamento Area Giardino,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Giardino · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,613.26,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 48.5% of bookings in this room-month; observed total-ADR premium €81.77.
2025,6,Appartamento Area Piscina,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Appartamento Area Piscina · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,532.36,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 42.7% of bookings in this room-month; observed total-ADR premium €77.15.
2025,6,Villino Double,,PRICE_DOWN,Change ROOM ADR -25% (410.93 → 308.20),23.33,36.49,95.88,112.45,497.1,MODELED_REVENUE,HIGH,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (95.88 -> 112.45) under the estimated price-volume response.
2025,6,Camera Superior,Bed & Breakfast → Mezza Pensione,PROMOTE_UPSELL,Camera Superior · month 6: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,,,,,480.43,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 38.1% of bookings in this room-month; observed total-ADR premium €60.05.
2025,6,Appartamento Area Giardino,Only Bed → Bed & Breakfast,PROMOTE_UPSELL,Appartamento Area Giardino · month 6: promote Only Bed → Bed & Breakfast to a controlled test cohort (10% target).,,,,,453.76,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 20.6% of bookings in this room-month; observed total-ADR premium €76.91.
2025,6,Appartamento Area Piscina,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Appartamento Area Piscina · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,424.29,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 20.0% of bookings in this room-month; observed total-ADR premium €21.98.
